City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
164,albany,42.6001,-73.9662,22.98,91,100,2.24,US,1691461676
165,tateyama,34.9833,139.8667,32.96,62,40,3.6,JP,1691461899
166,mossel bay,-34.1831,22.146,12.51,78,0,3.62,ZA,1691461899
167,peace river,56.2501,-117.286,22.17,73,100,4.63,CA,1691461902
168,barranquilla,10.9639,-74.7964,24.88,88,40,1.54,CO,1691461482
169,weno,7.4515,151.8468,25.97,94,100,2.57,FM,1691461902
170,gadzhiyevo,69.2551,33.3362,14.05,72,41,5.42,RU,1691461903
171,kpandu,6.9954,0.2931,22.54,95,54,3.29,GH,1691461903
172,hasaki,35.7333,140.8333,32.94,78,100,3.96,JP,1691461904
173,vadso,70.0744,29.7487,16.09,77,75,2.06,NO,1691461904
174,juan griego,11.0817,-63.9655,29.07,84,39,5.66,VE,1691461904
175,ulanhot,46.0833,122.0833,21.28,72,88,3.14,CN,1691461905
176,mananara,-16.1667,49.7667,18.19,95,45,2.29,MG,1691461906
177,margaret river,-33.95,115.0667,15.06,82,94,9.81,AU,1691461907
178,itoman,26.1247,127.6694,28.01,87,75,9.26,JP,1691461907
179,norfolk,42.1668,-71.2495,22.76,94,40,0.0,US,1691461678
180,port alfred,-33.5906,26.891,15.86,86,19,2.52,ZA,1691461909
181,jeddah,21.5169,39.2192,29.92,54,0,0.0,SA,1691461794
182,sinazongwe,-17.2614,27.4618,17.29,65,6,1.69,ZM,1691461909
183,east end,34.5507,-92.341,26.49,94,0,1.8,US,1691461909
184,antanifotsy,-19.65,47.3167,8.85,96,55,0.12,MG,1691461910
185,saipan,15.1355,145.701,31.39,100,75,3.6,MP,1691461910
186,letterkenny,54.95,-7.7333,8.76,95,84,1.11,IE,1691461910
187,tofol,5.3248,163.0078,28.04,72,76,2.71,FM,1691461912
188,whangarei,-35.7317,174.3239,12.33,92,100,2.94,NZ,1691461648
189,el calafate,-50.3408,-72.2768,-0.84,63,100,1.15,AR,1691461913
190,tolanaro,-25.0319,46.9987,18.04,100,75,7.2,MG,1691461913
191,port lincoln,-34.7333,135.8667,15.77,45,0,3.8,AU,1691461913
192,longyearbyen,78.2186,15.6401,5.32,96,100,1.69,SJ,1691461913
193,bodo,67.28,14.405,18.21,95,40,8.23,NO,1691461913
194,cabo san lucas,22.8909,-109.9124,33.12,66,17,3.58,MX,1691461529
195,brisas de zicatela,15.8369,-97.0419,29.29,58,20,0.0,MX,1691461914
196,iskateley,67.6803,53.1512,10.3,73,89,4.2,RU,1691461915
197,aki,33.5,133.9,27.97,89,59,6.08,JP,1691461915
198,mariental,-24.6333,17.9667,12.69,30,0,4.9,NA,1691461915
199,calinesti,44.8167,25.05,14.93,78,80,2.45,RO,1691461915
200,enewetak,11.3474,162.3373,27.28,81,100,3.49,MH,1691461917
201,urangan,-25.3,152.9,18.45,75,52,6.96,AU,1691461918
202,touros,-5.1989,-35.4608,23.98,87,29,5.46,BR,1691461918
203,betio village,1.358,172.9211,28.02,71,98,2.47,KI,1691461919
204,lumezzane,45.65,10.25,18.01,47,100,2.28,IT,1691461919
205,cukai,4.25,103.4167,30.0,66,2,2.52,MY,1691461919
206,da lat,11.9465,108.4419,22.5,67,92,3.02,VN,1691461921
207,ancud,-41.8697,-73.8203,8.28,87,83,3.03,CL,1691461922
208,moroni,-11.7022,43.2551,23.6,77,5,5.41,KM,1691461922
209,blachownia,50.7802,18.9639,12.69,90,99,5.75,PL,1691461924
210,tidjikja,18.5564,-11.4271,29.15,25,1,7.68,MR,1691461924
211,ambalangoda,6.2355,80.0538,27.26,83,89,5.73,LK,1691461925
212,arkhangel'sk,64.5401,40.5433,13.55,82,0,3.49,RU,1691461925
213,juneau,58.3019,-134.4197,17.9,94,100,1.54,US,1691461805
214,dakar,14.6937,-17.4441,27.07,78,40,5.14,SN,1691461926
215,smolenskoye,52.3044,85.0781,21.37,55,47,0.58,RU,1691461926
216,dongola,19.1667,30.4833,33.52,36,66,3.78,SD,1691461926
217,luwuk,-0.9516,122.7875,26.85,79,65,2.51,ID,1691461722
218,ryotsu-minato,38.0833,138.4333,31.09,59,100,1.56,JP,1691461927
219,eyl,7.9803,49.8164,26.14,63,61,12.09,SO,1691461927
220,adis zemen,12.1167,37.7833,13.71,90,44,1.17,ET,1691461928
221,saqqez,36.2499,46.2735,21.67,43,0,1.96,IR,1691461929
222,georgetown,5.4112,100.3354,29.97,78,40,2.68,MY,1691461632
223,luorong,24.4058,109.6086,30.23,74,70,3.09,CN,1691461929
224,ripley,53.0333,-1.4,12.45,87,50,2.99,GB,1691461930
225,cotoca,-17.8167,-63.05,26.92,34,73,5.62,BO,1691461930
226,praia,14.9215,-23.5087,26.3,73,40,6.69,CV,1691461931
227,kavaratti,10.5669,72.642,27.82,75,100,8.46,IN,1691461931
228,pyt-yakh,60.7499,72.8582,21.7,51,27,3.43,RU,1691461931
229,minas de marcona,-15.2119,-75.1103,12.75,85,24,4.05,PE,1691461932
230,tomatlan,19.9333,-105.25,27.11,79,44,1.47,MX,1691461932
231,el granada,37.5027,-122.4694,26.71,84,100,8.23,US,1691461932
232,porto novo,6.4965,2.6036,24.25,87,68,4.14,BJ,1691461932
233,caxias do sul,-29.1681,-51.1794,9.98,97,100,1.59,BR,1691461933
234,pariaman,-0.619,100.12,28.03,76,37,1.18,ID,1691461664
235,mugia,43.1041,-9.2179,21.06,72,0,9.21,ES,1691461933
236,lascano,-33.6667,-54.2,5.18,91,0,2.97,UY,1691461934
237,pasuquin,18.3328,120.6177,29.97,89,75,6.69,PH,1691461934
238,mali,12.079,-12.2982,15.06,93,96,1.65,GN,1691461934
239,malanje,-9.5402,16.341,15.98,68,1,1.42,AO,1691461935
240,odienne,9.51,-7.5692,21.07,97,100,1.28,CI,1691461935
241,soio,-6.1349,12.3689,20.66,92,84,3.11,AO,1691461936
242,ziro,27.6333,93.8333,17.41,99,100,0.45,IN,1691461936
243,wynyard,-41.0,145.7167,12.6,58,13,2.1,AU,1691461936
244,malango,-2.9627,119.9001,26.11,61,34,1.9,ID,1691461937
245,berezovka,53.7214,25.4993,12.7,85,100,5.01,BY,1691461937
246,revda,56.801,59.9303,15.47,96,91,1.93,RU,1691461937
247,at taj,24.2049,23.2857,27.11,31,5,4.02,LY,1691461937
248,trairi,-3.2778,-39.2689,25.86,80,58,5.7,BR,1691461938
249,san juan de miraflores,-12.1629,-76.9635,20.29,79,81,3.37,PE,1691461938
250,la passe,45.5549,-0.8967,13.88,72,42,2.23,FR,1691461938
251,greymouth,-42.4667,171.2,8.99,70,82,1.18,NZ,1691461939
252,catriel,-37.8791,-67.7956,11.15,34,99,11.21,AR,1691461939
253,nova sintra,14.8667,-24.7167,22.08,78,27,6.34,CV,1691461939
254,haines city,28.1142,-81.6179,31.59,78,0,2.06,US,1691461670
255,tanumah,27.1,44.1333,28.72,11,0,4.27,SA,1691461940
256,altamont,42.2068,-121.7372,25.91,29,0,6.69,US,1691461940
257,kerikeri,-35.2268,173.9474,11.35,91,100,2.93,NZ,1691461941
258,zapolyarnyy,69.4154,30.8136,14.6,73,13,3.92,RU,1691461941
259,manay,7.215,126.5397,30.74,67,88,4.89,PH,1691461941
260,pisco,-13.7,-76.2167,19.03,77,100,6.69,PE,1691461942
261,bari sadri,24.4167,74.4667,24.14,82,100,6.92,IN,1691461943
262,mazamari,-11.3258,-74.5308,21.29,86,45,1.01,PE,1691461943
263,daru,-9.0763,143.2092,24.55,80,69,6.46,PG,1691461943
264,molde,62.7375,7.1591,13.17,94,75,0.51,NO,1691461944
265,auki,-8.7676,160.7034,26.8,86,94,2.37,SB,1691461945
266,wailua homesteads,22.0669,-159.378,29.44,79,40,8.75,US,1691461945
267,markovo,57.3206,107.0881,26.71,44,46,2.8,RU,1691461946
268,sao jose do belmonte,-7.8614,-38.7597,19.9,89,2,4.52,BR,1691461946
269,illizi,26.4833,8.4667,33.89,22,5,5.52,DZ,1691461946
270,east london,-33.0153,27.9116,16.05,85,6,3.42,ZA,1691461947
271,rabaul,-4.1967,152.1721,28.11,72,74,6.42,PG,1691461947
272,jamestown,42.097,-79.2353,19.2,96,100,6.17,US,1691461920
273,mitu,1.1983,-70.1733,23.19,93,99,0.4,CO,1691461948
274,happy valley-goose bay,53.3168,-60.3315,15.17,88,75,1.54,CA,1691461812
275,vallenar,-28.5708,-70.7581,15.37,68,82,1.02,CL,1691461948
276,mosjoen,65.836,13.1908,15.29,94,100,1.03,NO,1691461949
277,ebon,4.582,168.6964,26.28,84,100,6.48,MH,1691461949
278,isafjordur,66.0755,-23.124,10.62,58,77,0.74,IS,1691461949
279,keflavik,64.0049,-22.5624,11.24,93,75,1.03,IS,1691461753
280,nouadhibou,20.931,-17.0347,20.99,88,0,3.6,MR,1691461951
281,shakawe,-18.3667,21.85,11.94,58,4,2.11,BW,1691461951
282,kone,-21.0595,164.8658,21.88,63,100,5.44,NC,1691461952
283,kilju,40.9642,129.3278,22.58,79,94,4.29,KP,1691461953
284,hamilton,39.1834,-84.5333,22.07,82,100,5.66,US,1691461702
285,maralal,1.0968,36.698,12.42,75,2,1.16,KE,1691461953
286,hastings,50.8552,0.5729,13.77,44,98,4.78,GB,1691461953
287,constantia,44.1833,28.65,18.38,57,9,6.67,RO,1691461867
288,natal,-5.795,-35.2094,23.36,100,20,3.09,BR,1691461955
289,luderitz,-26.6481,15.1594,15.65,63,0,6.69,NA,1691461956
290,dzhalagash,45.0833,64.6667,26.46,43,91,2.82,KZ,1691461956
291,hithadhoo,-0.6,73.0833,27.6,71,50,0.14,MV,1691461956
292,winchester,51.0651,-1.3187,13.14,87,75,2.57,GB,1691461957
293,east ballina,-28.8667,153.5833,19.33,50,40,5.73,AU,1691461957
294,holetown,13.1867,-59.6381,27.31,79,100,3.35,BB,1691461957
295,bogatoye,53.0601,51.3325,21.84,59,0,1.95,RU,1691461957
296,muravlenko,63.7898,74.523,20.34,54,69,4.03,RU,1691461958
297,omagari,39.45,140.4833,33.42,61,95,5.62,JP,1691461958
298,mangrol,21.1167,70.1167,26.94,84,100,8.53,IN,1691461958
299,ingeniero guillermo n. juarez,-23.9,-61.85,21.82,44,95,4.46,AR,1691461959
300,green,40.9459,-81.4832,18.35,92,100,4.12,US,1691461959
301,hami,42.8,93.45,37.84,12,90,6.47,CN,1691461856
302,maitum,6.0392,124.4986,29.92,66,24,3.09,PH,1691461960
303,mount pearl,47.5166,-52.7813,14.36,91,100,9.26,CA,1691461960
304,nuuk,64.1835,-51.7216,4.34,93,20,2.06,GL,1691461960
305,maues,-3.3836,-57.7186,27.11,47,47,1.31,BR,1691461961
306,kurchum,48.5722,83.6542,21.88,62,100,1.92,KZ,1691461961
307,kaa-khem,51.6833,94.7333,19.43,76,100,0.99,RU,1691461961
308,chumphon,10.3333,98.8333,25.69,83,100,2.86,TH,1691461961
309,ylitornio,66.3089,23.6773,17.36,95,77,4.04,FI,1691461962
310,hechuan,29.9947,106.2572,31.27,68,75,1.86,CN,1691461917
311,rikaze,29.25,88.8833,17.8,46,93,1.4,CN,1691461962
312,new norfolk,-42.7826,147.0587,14.4,47,5,0.97,AU,1691461963
313,nabire,-3.3667,135.4833,30.19,59,26,2.0,ID,1691461964
314,taulaga,-11.0553,-171.0883,27.94,73,100,6.61,AS,1691461964
315,gillette,44.2911,-105.5022,16.17,72,94,0.45,US,1691461965
316,kavieng,-2.5744,150.7967,28.44,69,81,5.78,PG,1691461965
317,moron,-34.6534,-58.6198,9.44,71,7,7.6,AR,1691461965
318,naze,28.3667,129.4833,25.51,91,90,13.45,JP,1691461965
319,vila do maio,15.1333,-23.2167,26.44,78,100,5.28,CV,1691461965
320,volodymyr-volynskyi,50.8525,24.3236,12.86,95,99,4.98,UA,1691461966
321,salekhard,66.53,66.6019,18.23,77,27,2.06,RU,1691461966
322,onega,63.9061,38.1404,15.64,76,0,5.02,RU,1691461967
323,mandan,46.8267,-100.8896,22.99,65,0,4.12,US,1691461967
324,tsiombe,-25.3,45.4833,17.53,79,6,1.49,MG,1691461968
325,cruzeiro do sul,-29.5128,-51.9853,13.62,88,87,1.7,BR,1691461968
326,colonia,50.9333,6.95,14.36,80,0,2.57,DE,1691461968
327,kutum,14.2,24.6667,22.08,73,34,1.4,SD,1691461969
328,constitucion,-35.3333,-72.4167,11.35,83,98,2.08,CL,1691461969
329,jose maria morelos,23.3952,-103.8984,21.44,34,21,1.73,MX,1691461969
330,duba-yurt,43.0372,45.7319,24.54,75,0,3.29,RU,1691461970
331,north branch,45.5113,-92.9802,23.04,68,31,3.14,US,1691461970
332,shannon,52.7039,-8.8642,15.0,88,100,2.57,IE,1691461970
333,maua,-23.6678,-46.4614,19.64,93,50,5.97,BR,1691461971
334,tchintabaraden,15.8969,5.7985,26.25,68,100,5.45,NE,1691461971
335,kolonia town,6.964,158.206,30.0,84,100,1.54,FM,1691461971
336,chu,43.5983,73.7614,25.79,38,99,5.32,KZ,1691461971
337,duba,27.3513,35.6901,32.67,32,0,3.95,SA,1691461972
338,maracacume,-2.0428,-45.9592,22.75,98,22,1.34,BR,1691461972
339,kabompo,-13.5927,24.2008,14.13,63,1,3.01,ZM,1691461972
340,ardestan,33.3761,52.3694,27.95,31,88,1.0,IR,1691461973
341,kayangel,8.0823,134.7173,28.27,73,100,8.08,PW,1691461973
342,smithers,54.7804,-127.1743,18.18,59,100,4.63,CA,1691461814
343,ji'an,27.1172,114.9793,32.62,66,58,0.41,CN,1691461974
344,ponta delgada,37.7333,-25.6667,21.4,88,40,2.06,PT,1691461958
345,fort st. john,56.2499,-120.8529,17.94,77,75,5.14,CA,1691461975
346,maumere,-8.6199,122.2111,27.45,58,2,2.84,ID,1691461975
347,ust-nera,64.5667,143.2,15.13,30,92,1.99,RU,1691461975
348,natchez,31.5604,-91.4032,29.12,79,0,0.0,US,1691461824
349,umm as sahik,26.6536,49.9164,32.08,23,4,5.22,SA,1691461975
350,kilindoni,-7.9139,39.6668,24.74,78,50,7.98,TZ,1691461976
351,vuktyl,63.8567,57.3094,14.84,77,40,4.08,RU,1691461976
352,port shepstone,-30.7414,30.455,16.29,83,0,3.05,ZA,1691461976
353,rockport,28.0206,-97.0544,30.03,89,40,5.14,US,1691461977
354,haiku-pauwela,20.9219,-156.3051,30.01,59,20,12.35,US,1691461977
355,aberdeen,57.1437,-2.0981,11.27,90,31,5.14,GB,1691461769
356,zunheboto,25.9667,94.5167,20.58,98,100,0.45,IN,1691461979
357,mount gambier,-37.8333,140.7667,14.0,54,0,2.23,AU,1691461979
358,san pedro pochutla,15.7333,-96.4667,25.06,88,1,2.05,MX,1691461979
359,binji,13.2228,4.9096,25.29,82,100,5.3,NG,1691461979
360,bafra,41.5678,35.9069,22.06,84,0,1.71,TR,1691461980
361,bridgetown,13.1,-59.6167,27.27,94,20,3.09,BB,1691461647
362,harstad,68.799,16.5293,17.91,100,77,4.02,NO,1691461980
363,mazidagi,37.4775,40.4881,30.5,26,0,2.19,TR,1691461980
364,sao joao da barra,-21.6403,-41.0511,21.58,89,0,4.32,BR,1691461683
365,fortuna,40.5982,-124.1573,17.97,94,100,6.17,US,1691461981
366,saint-pierre,-21.3393,55.4781,20.82,68,0,8.23,RE,1691461981
